county,date,year,month,registered_voters
Mono,2012-11-01,2012,11,1
Nevada,2012-06-01,2012,6,0
Nevada,2012-11-01,2012,11,0
Placer,2012-06-01,2012,6,0
Placer,2012-11-01,2012,11,0
Stanislaus,2012-06-01,2012,6,1
Stanislaus,2012-11-01,2012,11,1
Tuolumne,2012-06-01,2012,6,1
Tuolumne,2012-11-01,2012,11,1
Madera,2012-06-01,2012,6,0
Madera,2012-11-01,2012,11,0
Madera,2014-06-01,2014,6,0
Madera,2014-11-01,2014,11,0
Merced,2012-06-01,2012,6,0
Merced,2012-11-01,2012,11,0
Merced,2014-06-01,2014,6,0
Merced,2014-11-01,2014,11,0
Nevada,2012-06-01,2012,6,0
Nevada,2012-11-01,2012,11,0
Nevada,2014-06-01,2014,6,0
Nevada,2014-11-01,2014,11,0
Placer,2012-06-01,2012,6,0
Placer,2012-11-01,2012,11,0
Placer,2014-06-01,2014,6,0
Placer,2014-11-01,2014,11,0
